Algoritmo;Radix_Sort
Tamaño;5000
Orden;shuffled
Repeticiones;1000
Máquina;Lucas
Tiempo total;1.03795s
Tiempo promedio;0.00103795s
Tiempos individuales (s):
Ejecución 701;0.0009992
Ejecución 702;0.001
Ejecución 703;0.0010004
Ejecución 704;0.000994
Ejecución 705;0.0006547
Ejecución 706;0.0009973
Ejecución 707;0.0009973
Ejecución 708;0.0009976
Ejecución 709;0.0010565
Ejecución 710;0.0010055
Ejecución 711;0.0008807
Ejecución 712;0.0010685
Ejecución 713;0.0009979
Ejecución 714;0.0009993
Ejecución 715;0.0004447
Ejecución 716;0.0009983
Ejecución 717;0.001
Ejecución 718;0.0009806
Ejecución 719;0.0010083
Ejecución 720;0.0009077
Ejecución 721;0.0010069
Ejecución 722;0.0009997
Ejecución 723;0.001233
Ejecución 724;0.00101
Ejecución 725;0.0009998
Ejecución 726;0.0010005
Ejecución 727;0.0010227
Ejecución 728;0.0010137
Ejecución 729;0.0009986
Ejecución 730;0.0008568
Ejecución 731;0.0009994
Ejecución 732;0.0013052
Ejecución 733;0.0010101
Ejecución 734;0.0009998
Ejecución 735;0.0010053
Ejecución 736;0.0012651
Ejecución 737;0.001039
Ejecución 738;0.0010119
Ejecución 739;0.0013279
Ejecución 740;0.0011901
Ejecución 741;0.0009982
Ejecución 742;0.0004093
Ejecución 743;0.0009987
Ejecución 744;0.0009996
Ejecución 745;0.0010002
Ejecución 746;0.000999
Ejecución 747;0.0009995
Ejecución 748;0.0010004
Ejecución 749;0.0012091
Ejecución 750;0.001
Ejecución 751;0.0008972
Ejecución 752;0.0017645
Ejecución 753;0.0009884
Ejecución 754;0.0007042
Ejecución 755;0.000878
Ejecución 756;0.0009791
Ejecución 757;0.0010787
Ejecución 758;0.0010079
Ejecución 759;0.0009996
Ejecución 760;0.0008781
Ejecución 761;0.0009996
Ejecución 762;0.0009485
Ejecución 763;0.0009987
Ejecución 764;0.0005625
Ejecución 765;0.0005827
Ejecución 766;0.0051694
Ejecución 767;0.0009997
Ejecución 768;0.000383
Ejecución 769;0.000589
Ejecución 770;0.001006
Ejecución 771;0.0010005
Ejecución 772;0.0009994
Ejecución 773;0.0010015
